configuration [max_depth - splitter - criterion],iteration,class,accuracy_score,balanced_accuracy_score,balanced_accuracy_score_adjusted,f1_score,recall_score,precision_score
None - best - gini,0,1,0.8620689655172413,0.8379629629629629,0.7569444444444442,1.0,1.0,1.0
None - best - gini,0,2,0.8620689655172413,0.8379629629629629,0.7569444444444442,0.7142857142857143,0.625,0.8333333333333334
None - best - gini,0,3,0.8620689655172413,0.8379629629629629,0.7569444444444442,0.8,0.8888888888888888,0.7272727272727273
None - random - gini,0,1,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.96,1.0,0.9230769230769231
None - random - gini,0,2,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.875,0.875,0.875
None - random - gini,0,3,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.9411764705882353,0.8888888888888888,1.0
2 - best - gini,0,1,0.8620689655172413,0.8379629629629629,0.7569444444444442,1.0,1.0,1.0
2 - best - gini,0,2,0.8620689655172413,0.8379629629629629,0.7569444444444442,0.7142857142857143,0.625,0.8333333333333334
2 - best - gini,0,3,0.8620689655172413,0.8379629629629629,0.7569444444444442,0.8,0.8888888888888888,0.7272727272727273
2 - random - gini,0,1,0.8620689655172413,0.8425925925925926,0.7638888888888888,0.96,1.0,0.9230769230769231
2 - random - gini,0,2,0.8620689655172413,0.8425925925925926,0.7638888888888888,0.75,0.75,0.75
2 - random - gini,0,3,0.8620689655172413,0.8425925925925926,0.7638888888888888,0.8235294117647058,0.7777777777777778,0.875
4 - best - gini,0,1,0.8620689655172413,0.8379629629629629,0.7569444444444442,1.0,1.0,1.0
4 - best - gini,0,2,0.8620689655172413,0.8379629629629629,0.7569444444444442,0.7142857142857143,0.625,0.8333333333333334
4 - best - gini,0,3,0.8620689655172413,0.8379629629629629,0.7569444444444442,0.8,0.8888888888888888,0.7272727272727273
4 - random - gini,0,1,0.896551724137931,0.8935185185185185,0.8402777777777776,0.9166666666666666,0.9166666666666666,0.9166666666666666
4 - random - gini,0,2,0.896551724137931,0.8935185185185185,0.8402777777777776,0.8235294117647058,0.875,0.7777777777777778
4 - random - gini,0,3,0.896551724137931,0.8935185185185185,0.8402777777777776,0.9411764705882353,0.8888888888888888,1.0
8 - best - gini,0,1,0.8275862068965517,0.8009259259259259,0.7013888888888888,1.0,1.0,1.0
8 - best - gini,0,2,0.8275862068965517,0.8009259259259259,0.7013888888888888,0.6666666666666666,0.625,0.7142857142857143
8 - best - gini,0,3,0.8275862068965517,0.8009259259259259,0.7013888888888888,0.7368421052631579,0.7777777777777778,0.7
8 - random - gini,0,1,0.9310344827586207,0.9166666666666666,0.8749999999999998,1.0,1.0,1.0
8 - random - gini,0,2,0.9310344827586207,0.9166666666666666,0.8749999999999998,0.8571428571428571,0.75,1.0
8 - random - gini,0,3,0.9310344827586207,0.9166666666666666,0.8749999999999998,0.9,1.0,0.8181818181818182
None - best - entropy,0,1,0.896551724137931,0.8935185185185185,0.8402777777777776,0.9565217391304348,0.9166666666666666,1.0
None - best - entropy,0,2,0.896551724137931,0.8935185185185185,0.8402777777777776,0.8235294117647058,0.875,0.7777777777777778
None - best - entropy,0,3,0.896551724137931,0.8935185185185185,0.8402777777777776,0.8888888888888888,0.8888888888888888,0.8888888888888888
None - random - entropy,0,1,0.8275862068965517,0.8055555555555555,0.7083333333333331,0.9230769230769231,1.0,0.8571428571428571
None - random - entropy,0,2,0.8275862068965517,0.8055555555555555,0.7083333333333331,0.75,0.75,0.75
None - random - entropy,0,3,0.8275862068965517,0.8055555555555555,0.7083333333333331,0.75,0.6666666666666666,0.8571428571428571
2 - best - entropy,0,1,0.9310344827586207,0.9212962962962963,0.8819444444444444,1.0,1.0,1.0
2 - best - entropy,0,2,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.875,0.875,0.875
2 - best - entropy,0,3,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888
2 - random - entropy,0,1,0.5172413793103449,0.5879629629629629,0.38194444444444436,0.0,0.0,0.0
2 - random - entropy,0,2,0.5172413793103449,0.5879629629629629,0.38194444444444436,0.5,0.875,0.35
2 - random - entropy,0,3,0.5172413793103449,0.5879629629629629,0.38194444444444436,0.8888888888888888,0.8888888888888888,0.8888888888888888
4 - best - entropy,0,1,0.9310344827586207,0.9212962962962963,0.8819444444444444,1.0,1.0,1.0
4 - best - entropy,0,2,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.875,0.875,0.875
4 - best - entropy,0,3,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888
4 - random - entropy,0,1,0.9310344827586207,0.9212962962962963,0.8819444444444444,1.0,1.0,1.0
4 - random - entropy,0,2,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.875,0.875,0.875
4 - random - entropy,0,3,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888
8 - best - entropy,0,1,0.9310344827586207,0.9212962962962963,0.8819444444444444,1.0,1.0,1.0
8 - best - entropy,0,2,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.875,0.875,0.875
8 - best - entropy,0,3,0.9310344827586207,0.9212962962962963,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888
8 - random - entropy,0,1,0.9310344827586207,0.9351851851851851,0.9027777777777777,0.9565217391304348,0.9166666666666666,1.0
8 - random - entropy,0,2,0.9310344827586207,0.9351851851851851,0.9027777777777777,0.8888888888888888,1.0,0.8
8 - random - entropy,0,3,0.9310344827586207,0.9351851851851851,0.9027777777777777,0.9411764705882353,0.8888888888888888,1.0
None - best - gini,1,1,0.9310344827586207,0.9333333333333332,0.8999999999999997,0.8888888888888888,0.8,1.0
None - best - gini,1,2,0.9310344827586207,0.9333333333333332,0.8999999999999997,0.9230769230769231,1.0,0.8571428571428571
None - best - gini,1,3,0.9310344827586207,0.9333333333333332,0.8999999999999997,1.0,1.0,1.0
None - random - gini,1,1,0.9310344827586207,0.9047619047619048,0.857142857142857,1.0,1.0,1.0
None - random - gini,1,2,0.9310344827586207,0.9047619047619048,0.857142857142857,0.9230769230769231,1.0,0.8571428571428571
None - random - gini,1,3,0.9310344827586207,0.9047619047619048,0.857142857142857,0.8333333333333334,0.7142857142857143,1.0
2 - best - gini,1,1,0.8275862068965517,0.8103174603174604,0.7154761904761906,0.8421052631578947,0.8,0.8888888888888888
2 - best - gini,1,2,0.8275862068965517,0.8103174603174604,0.7154761904761906,0.8148148148148148,0.9166666666666666,0.7333333333333333
2 - best - gini,1,3,0.8275862068965517,0.8103174603174604,0.7154761904761906,0.8333333333333334,0.7142857142857143,1.0
2 - random - gini,1,1,0.7586206896551724,0.7293650793650794,0.5940476190476192,0.7368421052631579,0.7,0.7777777777777778
2 - random - gini,1,2,0.7586206896551724,0.7293650793650794,0.5940476190476192,0.7857142857142857,0.9166666666666666,0.6875
2 - random - gini,1,3,0.7586206896551724,0.7293650793650794,0.5940476190476192,0.7272727272727273,0.5714285714285714,1.0
4 - best - gini,1,1,0.9310344827586207,0.9333333333333332,0.8999999999999997,0.8888888888888888,0.8,1.0
4 - best - gini,1,2,0.9310344827586207,0.9333333333333332,0.8999999999999997,0.9230769230769231,1.0,0.8571428571428571
4 - best - gini,1,3,0.9310344827586207,0.9333333333333332,0.8999999999999997,1.0,1.0,1.0
4 - random - gini,1,1,0.8620689655172413,0.8634920634920635,0.7952380952380953,0.9,0.9,0.9
4 - random - gini,1,2,0.8620689655172413,0.8634920634920635,0.7952380952380953,0.8333333333333334,0.8333333333333334,0.8333333333333334
4 - random - gini,1,3,0.8620689655172413,0.8634920634920635,0.7952380952380953,0.8571428571428571,0.8571428571428571,0.8571428571428571
8 - best - gini,1,1,0.9310344827586207,0.9333333333333332,0.8999999999999997,0.8888888888888888,0.8,1.0
8 - best - gini,1,2,0.9310344827586207,0.9333333333333332,0.8999999999999997,0.9230769230769231,1.0,0.8571428571428571
8 - best - gini,1,3,0.9310344827586207,0.9333333333333332,0.8999999999999997,1.0,1.0,1.0
8 - random - gini,1,1,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9473684210526315,0.9,1.0
8 - random - gini,1,2,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,1.0,0.8571428571428571
8 - random - gini,1,3,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,0.8571428571428571,1.0
None - best - entropy,1,1,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9473684210526315,0.9,1.0
None - best - entropy,1,2,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,1.0,0.8571428571428571
None - best - entropy,1,3,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,0.8571428571428571,1.0
None - random - entropy,1,1,0.8620689655172413,0.8436507936507937,0.7654761904761903,0.8181818181818182,0.9,0.75
None - random - entropy,1,2,0.8620689655172413,0.8436507936507937,0.7654761904761903,0.9166666666666666,0.9166666666666666,0.9166666666666666
None - random - entropy,1,3,0.8620689655172413,0.8436507936507937,0.7654761904761903,0.8333333333333334,0.7142857142857143,1.0
2 - best - entropy,1,1,0.896551724137931,0.8912698412698412,0.8369047619047618,0.9,0.9,0.9
2 - best - entropy,1,2,0.896551724137931,0.8912698412698412,0.8369047619047618,0.88,0.9166666666666666,0.8461538461538461
2 - best - entropy,1,3,0.896551724137931,0.8912698412698412,0.8369047619047618,0.9230769230769231,0.8571428571428571,1.0
2 - random - entropy,1,1,0.6551724137931034,0.6523809523809524,0.4785714285714286,0.18181818181818182,0.1,1.0
2 - random - entropy,1,2,0.6551724137931034,0.6523809523809524,0.4785714285714286,0.7058823529411765,1.0,0.5454545454545454
2 - random - entropy,1,3,0.6551724137931034,0.6523809523809524,0.4785714285714286,0.9230769230769231,0.8571428571428571,1.0
4 - best - entropy,1,1,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9473684210526315,0.9,1.0
4 - best - entropy,1,2,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,1.0,0.8571428571428571
4 - best - entropy,1,3,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,0.8571428571428571,1.0
4 - random - entropy,1,1,0.9655172413793104,0.9722222222222222,0.9583333333333331,0.9523809523809523,1.0,0.9090909090909091
4 - random - entropy,1,2,0.9655172413793104,0.9722222222222222,0.9583333333333331,0.9565217391304348,0.9166666666666666,1.0
4 - random - entropy,1,3,0.9655172413793104,0.9722222222222222,0.9583333333333331,1.0,1.0,1.0
8 - best - entropy,1,1,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9473684210526315,0.9,1.0
8 - best - entropy,1,2,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,1.0,0.8571428571428571
8 - best - entropy,1,3,0.9310344827586207,0.919047619047619,0.8785714285714283,0.9230769230769231,0.8571428571428571,1.0
8 - random - entropy,1,1,0.8620689655172413,0.8380952380952381,0.757142857142857,0.8888888888888888,0.8,1.0
8 - random - entropy,1,2,0.8620689655172413,0.8380952380952381,0.757142857142857,0.8571428571428571,1.0,0.75
8 - random - entropy,1,3,0.8620689655172413,0.8380952380952381,0.757142857142857,0.8333333333333334,0.7142857142857143,1.0
None - best - gini,2,1,1.0,1.0,1.0,1.0,1.0,1.0
None - best - gini,2,2,1.0,1.0,1.0,1.0,1.0,1.0
None - best - gini,2,3,1.0,1.0,1.0,1.0,1.0,1.0
None - random - gini,2,1,0.9285714285714286,0.9166666666666666,0.8749999999999998,0.8571428571428571,0.75,1.0
None - random - gini,2,2,0.9285714285714286,0.9166666666666666,0.8749999999999998,0.9285714285714286,1.0,0.8666666666666667
None - random - gini,2,3,0.9285714285714286,0.9166666666666666,0.8749999999999998,1.0,1.0,1.0
2 - best - gini,2,1,0.8214285714285714,0.8717948717948718,0.8076923076923077,0.8,1.0,0.6666666666666666
2 - best - gini,2,2,0.8214285714285714,0.8717948717948718,0.8076923076923077,0.7619047619047619,0.6153846153846154,1.0
2 - best - gini,2,3,0.8214285714285714,0.8717948717948718,0.8076923076923077,0.9333333333333333,1.0,0.875
2 - random - gini,2,1,0.8571428571428571,0.8214285714285715,0.7321428571428572,0.8571428571428571,0.75,1.0
2 - random - gini,2,2,0.8571428571428571,0.8214285714285715,0.7321428571428572,0.8666666666666667,1.0,0.7647058823529411
2 - random - gini,2,3,0.8571428571428571,0.8214285714285715,0.7321428571428572,0.8333333333333334,0.7142857142857143,1.0
4 - best - gini,2,1,1.0,1.0,1.0,1.0,1.0,1.0
4 - best - gini,2,2,1.0,1.0,1.0,1.0,1.0,1.0
4 - best - gini,2,3,1.0,1.0,1.0,1.0,1.0,1.0
4 - random - gini,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
4 - random - gini,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
4 - random - gini,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9333333333333333,1.0,0.875
8 - best - gini,2,1,1.0,1.0,1.0,1.0,1.0,1.0
8 - best - gini,2,2,1.0,1.0,1.0,1.0,1.0,1.0
8 - best - gini,2,3,1.0,1.0,1.0,1.0,1.0,1.0
8 - random - gini,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
8 - random - gini,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
8 - random - gini,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
None - best - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
None - best - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
None - best - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
None - random - entropy,2,1,0.9285714285714286,0.9267399267399267,0.8901098901098898,0.9411764705882353,1.0,0.8888888888888888
None - random - entropy,2,2,0.9285714285714286,0.9267399267399267,0.8901098901098898,0.9230769230769231,0.9230769230769231,0.9230769230769231
None - random - entropy,2,3,0.9285714285714286,0.9267399267399267,0.8901098901098898,0.9230769230769231,0.8571428571428571,1.0
2 - best - entropy,2,1,0.8928571428571429,0.923076923076923,0.8846153846153844,0.8888888888888888,1.0,0.8
2 - best - entropy,2,2,0.8928571428571429,0.923076923076923,0.8846153846153844,0.8695652173913043,0.7692307692307693,1.0
2 - best - entropy,2,3,0.8928571428571429,0.923076923076923,0.8846153846153844,0.9333333333333333,1.0,0.875
2 - random - entropy,2,1,0.75,0.7124542124542125,0.5686813186813187,0.6153846153846154,0.5,0.8
2 - random - entropy,2,2,0.75,0.7124542124542125,0.5686813186813187,0.7741935483870968,0.9230769230769231,0.6666666666666666
2 - random - entropy,2,3,0.75,0.7124542124542125,0.5686813186813187,0.8333333333333334,0.7142857142857143,1.0
4 - best - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
4 - best - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
4 - best - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
4 - random - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
4 - random - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
4 - random - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
8 - best - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
8 - best - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
8 - best - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
8 - random - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
8 - random - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
8 - random - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
None - best - gini,3,1,0.9642857142857143,0.9696969696969697,0.9545454545454546,1.0,1.0,1.0
None - best - gini,3,2,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9523809523809523,0.9090909090909091,1.0
None - best - gini,3,3,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9473684210526315,1.0,0.9
None - random - gini,3,1,0.8214285714285714,0.8484848484848485,0.7727272727272726,0.8888888888888888,1.0,0.8
None - random - gini,3,2,0.8214285714285714,0.8484848484848485,0.7727272727272726,0.7058823529411765,0.5454545454545454,1.0
None - random - gini,3,3,0.8214285714285714,0.8484848484848485,0.7727272727272726,0.8571428571428571,1.0,0.75
2 - best - gini,3,1,0.9285714285714286,0.9393939393939394,0.9090909090909092,1.0,1.0,1.0
2 - best - gini,3,2,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,0.8181818181818182,1.0
2 - best - gini,3,3,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,1.0,0.8181818181818182
2 - random - gini,3,1,0.75,0.7609427609427609,0.6414141414141413,0.9411764705882353,1.0,0.8888888888888888
2 - random - gini,3,2,0.75,0.7609427609427609,0.6414141414141413,0.6956521739130435,0.7272727272727273,0.6666666666666666
2 - random - gini,3,3,0.75,0.7609427609427609,0.6414141414141413,0.625,0.5555555555555556,0.7142857142857143
4 - best - gini,3,1,0.9642857142857143,0.9696969696969697,0.9545454545454546,1.0,1.0,1.0
4 - best - gini,3,2,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9523809523809523,0.9090909090909091,1.0
4 - best - gini,3,3,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9473684210526315,1.0,0.9
4 - random - gini,3,1,0.8928571428571429,0.9023569023569024,0.8535353535353534,0.8888888888888888,1.0,0.8
4 - random - gini,3,2,0.8928571428571429,0.9023569023569024,0.8535353535353534,0.9,0.8181818181818182,1.0
4 - random - gini,3,3,0.8928571428571429,0.9023569023569024,0.8535353535353534,0.8888888888888888,0.8888888888888888,0.8888888888888888
8 - best - gini,3,1,0.9642857142857143,0.9696969696969697,0.9545454545454546,1.0,1.0,1.0
8 - best - gini,3,2,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9523809523809523,0.9090909090909091,1.0
8 - best - gini,3,3,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9473684210526315,1.0,0.9
8 - random - gini,3,1,0.7142857142857143,0.7327441077441077,0.5991161616161615,0.9333333333333333,0.875,1.0
8 - random - gini,3,2,0.7142857142857143,0.7327441077441077,0.5991161616161615,0.631578947368421,0.5454545454545454,0.75
8 - random - gini,3,3,0.7142857142857143,0.7327441077441077,0.5991161616161615,0.6363636363636364,0.7777777777777778,0.5384615384615384
None - best - entropy,3,1,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,1.0,0.8888888888888888
None - best - entropy,3,2,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9090909090909091,0.9090909090909091,0.9090909090909091
None - best - entropy,3,3,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,0.8888888888888888,1.0
None - random - entropy,3,1,1.0,1.0,1.0,1.0,1.0,1.0
None - random - entropy,3,2,1.0,1.0,1.0,1.0,1.0,1.0
None - random - entropy,3,3,1.0,1.0,1.0,1.0,1.0,1.0
2 - best - entropy,3,1,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.8888888888888888,1.0,0.8
2 - best - entropy,3,2,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,0.8181818181818182,1.0
2 - best - entropy,3,3,0.9285714285714286,0.9393939393939394,0.9090909090909092,1.0,1.0,1.0
2 - random - entropy,3,1,0.8571428571428571,0.8425925925925926,0.7638888888888888,0.8571428571428571,0.75,1.0
2 - random - entropy,3,2,0.8571428571428571,0.8425925925925926,0.7638888888888888,0.8461538461538461,1.0,0.7333333333333333
2 - random - entropy,3,3,0.8571428571428571,0.8425925925925926,0.7638888888888888,0.875,0.7777777777777778,1.0
4 - best - entropy,3,1,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,1.0,0.8888888888888888
4 - best - entropy,3,2,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9090909090909091,0.9090909090909091,0.9090909090909091
4 - best - entropy,3,3,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,0.8888888888888888,1.0
4 - random - entropy,3,1,0.7857142857142857,0.8000841750841751,0.7001262626262625,0.9333333333333333,0.875,1.0
4 - random - entropy,3,2,0.7857142857142857,0.8000841750841751,0.7001262626262625,0.7,0.6363636363636364,0.7777777777777778
4 - random - entropy,3,3,0.7857142857142857,0.8000841750841751,0.7001262626262625,0.7619047619047619,0.8888888888888888,0.6666666666666666
8 - best - entropy,3,1,0.8928571428571429,0.8956228956228957,0.8434343434343433,0.9411764705882353,1.0,0.8888888888888888
8 - best - entropy,3,2,0.8928571428571429,0.8956228956228957,0.8434343434343433,0.8695652173913043,0.9090909090909091,0.8333333333333334
8 - best - entropy,3,3,0.8928571428571429,0.8956228956228957,0.8434343434343433,0.875,0.7777777777777778,1.0
8 - random - entropy,3,1,0.9285714285714286,0.9393939393939394,0.9090909090909092,1.0,1.0,1.0
8 - random - entropy,3,2,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,0.8181818181818182,1.0
8 - random - entropy,3,3,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,1.0,0.8181818181818182
None - best - gini,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
None - best - gini,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
None - best - gini,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
None - random - gini,4,1,0.9642857142857143,0.9583333333333334,0.9374999999999999,0.9333333333333333,0.875,1.0
None - random - gini,4,2,0.9642857142857143,0.9583333333333334,0.9374999999999999,0.967741935483871,1.0,0.9375
None - random - gini,4,3,0.9642857142857143,0.9583333333333334,0.9374999999999999,1.0,1.0,1.0
2 - best - gini,4,1,0.7857142857142857,0.8472222222222222,0.7708333333333331,0.7,0.875,0.5833333333333334
2 - best - gini,4,2,0.7857142857142857,0.8472222222222222,0.7708333333333331,0.7692307692307693,0.6666666666666666,0.9090909090909091
2 - best - gini,4,3,0.7857142857142857,0.8472222222222222,0.7708333333333331,1.0,1.0,1.0
2 - random - gini,4,1,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8421052631578947,1.0,0.7272727272727273
2 - random - gini,4,2,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8461538461538461,0.7333333333333333,1.0
2 - random - gini,4,3,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.9090909090909091,1.0,0.8333333333333334
4 - best - gini,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
4 - best - gini,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
4 - best - gini,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
4 - random - gini,4,1,0.7857142857142857,0.7583333333333333,0.6375,0.7777777777777778,0.875,0.7
4 - random - gini,4,2,0.7857142857142857,0.7583333333333333,0.6375,0.8571428571428571,0.8,0.9230769230769231
4 - random - gini,4,3,0.7857142857142857,0.7583333333333333,0.6375,0.6,0.6,0.6
8 - best - gini,4,1,0.8928571428571429,0.9138888888888889,0.8708333333333331,0.8235294117647058,0.875,0.7777777777777778
8 - best - gini,4,2,0.8928571428571429,0.9138888888888889,0.8708333333333331,0.896551724137931,0.8666666666666667,0.9285714285714286
8 - best - gini,4,3,0.8928571428571429,0.9138888888888889,0.8708333333333331,1.0,1.0,1.0
8 - random - gini,4,1,0.8571428571428571,0.8666666666666667,0.8,0.8888888888888888,1.0,0.8
8 - random - gini,4,2,0.8571428571428571,0.8666666666666667,0.8,0.8571428571428571,0.8,0.9230769230769231
8 - random - gini,4,3,0.8571428571428571,0.8666666666666667,0.8,0.8,0.8,0.8
None - best - entropy,4,1,0.9285714285714286,0.9111111111111111,0.8666666666666665,0.9411764705882353,1.0,0.8888888888888888
None - best - entropy,4,2,0.9285714285714286,0.9111111111111111,0.8666666666666665,0.9333333333333333,0.9333333333333333,0.9333333333333333
None - best - entropy,4,3,0.9285714285714286,0.9111111111111111,0.8666666666666665,0.8888888888888888,0.8,1.0
None - random - entropy,4,1,0.8571428571428571,0.8666666666666667,0.8,0.8888888888888888,1.0,0.8
None - random - entropy,4,2,0.8571428571428571,0.8666666666666667,0.8,0.8571428571428571,0.8,0.9230769230769231
None - random - entropy,4,3,0.8571428571428571,0.8666666666666667,0.8,0.8,0.8,0.8
2 - best - entropy,4,1,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8,1.0,0.6666666666666666
2 - best - entropy,4,2,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8461538461538461,0.7333333333333333,1.0
2 - best - entropy,4,3,0.8571428571428571,0.9111111111111111,0.8666666666666665,1.0,1.0,1.0
2 - random - entropy,4,1,0.8214285714285714,0.8055555555555557,0.7083333333333335,0.75,0.75,0.75
2 - random - entropy,4,2,0.8214285714285714,0.8055555555555557,0.7083333333333335,0.8387096774193549,0.8666666666666667,0.8125
2 - random - entropy,4,3,0.8214285714285714,0.8055555555555557,0.7083333333333335,0.8888888888888888,0.8,1.0
4 - best - entropy,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
4 - best - entropy,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
4 - best - entropy,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
4 - random - entropy,4,1,0.7857142857142857,0.8277777777777778,0.7416666666666667,0.6666666666666666,0.75,0.6
4 - random - entropy,4,2,0.7857142857142857,0.8277777777777778,0.7416666666666667,0.7857142857142857,0.7333333333333333,0.8461538461538461
4 - random - entropy,4,3,0.7857142857142857,0.8277777777777778,0.7416666666666667,1.0,1.0,1.0
8 - best - entropy,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
8 - best - entropy,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
8 - best - entropy,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
8 - random - entropy,4,1,0.8928571428571429,0.8944444444444445,0.8416666666666666,0.8571428571428571,0.75,1.0
8 - random - entropy,4,2,0.8928571428571429,0.8944444444444445,0.8416666666666666,0.9032258064516129,0.9333333333333333,0.875
8 - random - entropy,4,3,0.8928571428571429,0.8944444444444445,0.8416666666666666,0.9090909090909091,1.0,0.8333333333333334
